streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal
sasatikk,/sasatikk,8198,159.7,41391,9550,327452,Escape from Tarkov
Domingo,/domingo,11404,83.2,204966,4721,1744697,Just Chatting
NNOPrime,/nnoprime,18217,10.4,38583,3623,84948,League of Legends
thek4sen,/thek4sen,18495,8.5,24306,13517,42066,League of Legends
AdmiralBahroo,/admiralbahroo,6447,228.8,52399,987,841333,Dead by Daylight
MartinCirioOk,/martinciriook,14144,42.1,30882,13408,158561,Just Chatting
forsen,/forsen,7948,160.1,80860,671,1739074,Minecraft
EAMaddenNFL,/eamaddennfl,17272,13.5,97361,15629,677268,Madden NFL 21
Tolkin,/tolkin,6179,235.9,49219,5488,295061,League of Legends
k3soju,/k3soju,11659,72.3,30882,837,563258,Teamfight Tactics
AntoineDaniel,/antoinedaniel,10061,101.4,74618,4053,1030000,GeoGuessr
Rainbow6BR,/rainbow6br,9399,115.5,87521,13258,609012,Tom Clancy's Rainbow Six Siege
柊ツルギ,/hiiragitsurugi,6510,214.9,66755,11443,143629,Grand Theft Auto V
betboom_ru2,/betboom_ru2,13059,50.7,70416,14824,132226,Dota 2
betboom_eng2,/betboom_eng2,13573,43.5,36709,16414,32417,Dota 2
Tikyjr,/tikyjr,8320,138.9,34425,15409,170063,League of Legends
StRoGo1337,/strogo1337,9648,104.1,54818,94243,572680,Just Chatting
ESL_Dota2Ember,/esl_dota2ember,13786,38.8,148635,4040,599243,Dota 2
Etoiles,/etoiles,8712,125.7,242237,12641,1098560,Just Chatting
genesisgg,/genesisgg,13994,35.9,45092,36950,42163,Super Smash Bros. Melee
stylishnoob4,/stylishnoob4,16343,14.6,112628,1203,1041241,Apex Legends
UniversoReality_EC,/universoreality_ec,5677,248.3,22185,17346,39815,Just Chatting
QuickyBaby,/quickybaby,6785,189.6,25201,6190,605398,World of Tanks
Agent00,/agent00,8738,121.3,128313,31508,1433359,Just Chatting
Fanum,/fanum,9891,93.9,45268,67508,1927865,Grand Theft Auto V
HisWattson,/hiswattson,5624,239.1,21393,23114,692427,Apex Legends
juansguarnizo,/juansguarnizo,8427,120.4,409967,4512,11170234,Just Chatting
Unboxholics,/unboxholics,15571,14.1,63584,2386,453078,Variety
OverwatchContenders,/overwatchcontenders,16472,6.6,42510,1290,665964,Overwatch
rezonfn,/rezonfn,7532,145.1,65422,95112,862453,Fortnite
yuuri22,/yuuri22,12003,49.6,39242,41654,280524,Just Chatting
BastiGHG,/bastighg,6931,167.1,62507,28009,1720830,Minecraft
NeVeR_LosEs,/never_loses,7522,144.6,14244,2634,285055,League of Legends
RRaenee,/rraenee,12591,41.6,25337,31480,1229694,Just Chatting
HoneyMad,/honeymad,13255,31.7,35127,2793,736094,Just Chatting
angryginge13,/angryginge13,7681,134.7,25899,21556,766869,Grand Theft Auto V
Tubbo,/tubbo,7058,154.4,332671,1270,5243510,Minecraft
mondo2244,/mondo2244,6477,178.1,26160,7809,198402,Grand Theft Auto V
CBLOL,/cblol,8453,110.3,281184,3655,1612424,League of Legends
TenZ,/tenz,13138,31.4,85010,25454,3763957,VALORANT
Aydan,/aydan,5514,227.5,77954,25006,3069211,Call of Duty: Warzone
plaqueboymax,/plaqueboymax,8552,107.0,19895,26368,642889,Just Chatting
m0NESYof,/m0nesyof,16049,5.0,28407,14146,966376,Counter-Strike
GamerBrother,/gamerbrother,9606,82.4,76709,5081,556696,FIFA 23
triiisecta,/triiisecta,15711,6.9,27474,26450,103959,Just Chatting
랄로,/aba4647,6706,164.7,57993,1796,686830,League of Legends
scump,/scump,8392,108.4,176972,13030,1661474,Call of Duty: Warzone
Pauleta_Twitch,/pauleta_twitch,8422,107.6,42305,10052,594759,Just Chatting
PaymoneyWubby,/paymoneywubby,13193,27.6,44403,945,627456,Just Chatting
NICKMERCS,/nickmercs,10973,55.0,371232,3708,6717545,Fortnite
ow_uruca,/ow_uruca,6404,172.2,20345,12774,217699,League of Legends
brtt,/brtt,5499,218.5,35436,9700,974203,League of Legends
Bonjwa,/bonjwa,4750,269.9,33444,336,236538,Just Chatting
Coreano,/coreano,4302,305.7,62371,11227,691366,VALORANT
PENTA,/penta,6081,183.0,22781,71,360181,Grand Theft Auto V
GOFNS,/gofns,5550,209.8,25723,31445,224720,VALORANT
赤見かるび,/akamikarubi,5956,184.2,43617,13781,440745,VALORANT
alondrissa,/alondrissa,8947,85.1,17040,123932,323677,Just Chatting
sinatraa,/sinatraa,5339,217.2,45093,11587,1861971,VALORANT
LPL,/lpl,9333,76.7,149720,7915,1016391,League of Legends
des0ut,/des0ut,6061,177.9,22215,21377,454954,PUBG: BATTLEGROUNDS
H2P_Gucio,/h2p_gucio,6622,150.8,61218,4925,410697,Just Chatting
AsianJeff,/asianjeff,5817,186.5,26787,189619,1394103,Fortnite
Flats,/flats,4802,249.0,22525,26539,621500,Overwatch
LLA,/lla,10112,59.9,302299,4198,672372,League of Legends
橘ひなの,/hinanotachiba7,6256,165.3,29282,15733,421725,VALORANT
Leb1ga,/leb1ga,13432,17.1,42350,10826,290306,Just Chatting
esports_rage,/esports_rage,11050,44.7,74276,6525,190895,Apex Legends
Northernlion,/northernlion,8845,83.1,50421,6220,651274,Super Auto Pets
CDawgVA,/cdawgva,8838,82.8,77752,17869,1208658,Just Chatting
ゆゆうた押忍,/yuyuta0702,5941,176.9,24365,5265,245437,Just Chatting
Magic,/magic,12160,29.0,125980,4216,466041,Magic: The Gathering
RDjavi,/rdjavi,11084,42.4,22184,32933,685284,Grand Theft Auto V
Jolavanille,/jolavanille,6548,148.4,26292,20610,606775,Fortnite
Llobeti4,/llobeti4,13645,12.8,36212,9745,1565328,Fortnite
CR_rion,/cr_rion,7312,119.3,36595,8752,221037,VALORANT
Lacy,/lacy,5541,189.2,23266,45775,391054,Fortnite
Zentreya,/zentreya,4994,215.9,25817,10087,480181,Just Chatting
Grendy,/grendy,7224,114.9,12786,2725,184164,Grand Theft Auto V
ow_esports__,/ow_esports__,10884,38.2,373393,15752,1877886,Overwatch
Jinnytty,/jinnytty,5292,193.8,26902,6238,994364,Just Chatting
mira,/mira,1965,709.2,9522,30646,579203,Just Chatting
Philza,/philza,8468,79.1,162626,-1052,4351186,Minecraft
Dmitry_Lixxx,/dmitry_lixxx,7022,117.9,31463,22611,1360102,Just Chatting
imaqtpie,/imaqtpie,4795,224.1,77541,6371,2582051,League of Legends
xmerghani,/xmerghani,10631,39.8,27938,14329,537571,Grand Theft Auto V
VooDooSh,/voodoosh,4654,233.3,52516,6680,359018,Heroes of Might and Magic III: The Restoration of Erathia
MaximeBiaggi,/maximebiaggi,10392,42.4,187871,16165,651186,Minecraft
LenaGol0vach,/lenagol0vach,7736,94.8,22916,8362,558118,Hearthstone
老皮,/mobilmobil,6121,147.5,20032,1273,545107,Talk Shows & Podcasts
Stray228,/stray228,8009,85.7,49312,12069,1571029,Dota 2
TheRealMarzaa,/therealmarzaa,4779,218.7,40183,17371,1457609,Fortnite
skywhywalker,/skywhywalker,8902,65.7,30445,23366,772315,Counter-Strike
BUXEXA_str,/buxexa_str,1958,691.6,2988,452,1783,Virtual Casino
RazaH,/razah,4600,230.6,16719,6445,205430,Tom Clancy's Rainbow Six Siege
asianbunnyx,/asianbunnyx,6619,126.2,22476,31727,813124,"Pools, Hot Tubs, and Beaches"
Shylily,/shylily,5868,156.5,33922,27795,1328992,Just Chatting
Kamito_JP,/kamito_jp,4978,204.3,18959,9630,261289,Apex Legends
羅傑,/roger9527,7389,100.3,20669,2275,188895,Hearthstone
Hype,/hype,13328,6.1,83333,174,792834,Just Chatting
Mande,/mande,4900,207.0,19168,14174,597843,Apex Legends
らいじん,/alfrea,5125,191.5,25701,8106,166096,League of Legends
Jahrein,/jahrein,11130,28.2,316703,514,1910665,Just Chatting
Jolygolf,/jolygolf,11543,22.9,49374,10063,474387,Talk Shows & Podcasts
Foolish,/foolish,6168,139.2,133517,2990,2190976,Minecraft
Joueur_du_Grenier,/joueur_du_grenier,8317,73.7,181902,4892,961814,Just Chatting
Rainbow6Bravo,/rainbow6bravo,7760,85.2,77348,21762,297275,Tom Clancy's Rainbow Six Siege
Glorious_E,/glorious_e,4746,209.7,40764,7706,320457,Escape from Tarkov
Emongg,/emongg,4379,234.9,78947,11731,957181,Overwatch
Doublelift,/doublelift,6467,123.0,64735,2360,1780304,League of Legends
DougDoug,/dougdoug,9946,40.0,20469,24300,853718,Just Chatting
elded,/elded,4645,211.7,54483,3032,5577231,Just Chatting
蝦愛橘子,/shuteye_orange,1807,717.3,9944,98,174383,Just Chatting
LACOBRAAA,/lacobraaa,6827,107.8,73783,24924,882042,Just Chatting
chowh1,/chowh1,5414,162.0,59343,7142,792917,Call of Duty: Warzone
Carreraaa,/carreraaa,9638,42.2,158444,54630,4476657,Just Chatting
WankilStudio,/wankilstudio,9704,40.8,32755,5471,1235035,Just Chatting
BotezLive,/botezlive,10003,36.1,86864,4328,1278275,Chess
RebeuDeter,/rebeudeter,9673,40.9,155443,15347,1472644,Grand Theft Auto V
Zizaran,/zizaran,5363,162.1,30289,9234,433297,Path of Exile
Pobelter,/pobelter,4660,203.1,31774,9999,432372,League of Legends
MORGENSHTERN,/morgenshtern,11345,17.5,120112,30791,401020,Just Chatting
mertabimula,/mertabimula,3670,285.8,20178,25978,285912,Grand Theft Auto V
Locklear,/locklear,7136,92.6,58905,9001,2168676,Just Chatting
runthefutmarket,/runthefutmarket,6102,126.5,44274,5420,908781,FIFA 19
Drututt,/drututt,6125,124.9,35813,6243,564137,League of Legends
rostislav_999,/rostislav_999,9662,38.5,41888,14567,794349,Dota 2
Sardoche,/sardoche,4190,233.6,146958,-7141,1265787,League of Legends
Tectone,/tectone,6440,111.1,62220,5673,929359,Genshin Impact
Otzdarva,/otzdarva,5671,139.7,37035,27395,996191,Dead by Daylight
RiotGamesJP,/riotgamesjp,8611,53.2,96114,2952,302310,League of Legends
아이네_,/vo_ine,11918,7.5,31660,273,357812,Just Chatting
gamesofuture_dota2,/gamesofuture_dota2,7532,76.1,24740,22633,21202,Dota 2
Duke,/duke,11427,12.1,54669,39518,1959039,Just Chatting
Vinesauce,/vinesauce,6753,97.3,19347,3501,596781,Games + Demos
Symfuhny,/symfuhny,4633,192.4,47884,5041,3974625,Call of Duty: Warzone
YoDa,/yoda,4810,181.2,132814,1629,2438008,League of Legends
dkincc,/dkincc,10294,24.9,26337,12370,386973,Just Chatting
Franio,/franio,7102,85.8,33621,8491,422967,Just Chatting
aldo_geo,/aldo_geo,5760,131.1,53044,15989,1825506,Just Chatting
Rezo,/rezo,10937,15.9,33582,8213,634458,Just Chatting
thesketchreal,/thesketchreal,9894,28.6,28046,151946,283269,Madden NFL 24
BarbarousKing,/barbarousking,3251,312.4,25243,793,210512,Super Mario World
WorldofTanks,/worldoftanks,10338,21.8,71042,3545,457225,World of Tanks
Lysium,/lysium,4235,213.2,24124,4562,296416,Grand Theft Auto V
dota2_paragon_ru2,/dota2_paragon_ru2,9300,36.6,36263,8012,56688,Dota 2
supertf,/supertf,4493,191.5,29409,4700,632602,Overwatch
willneff,/willneff,6744,89.9,45771,14202,484084,Just Chatting
easportsfc,/easportsfc,11608,5.5,290841,9097,3488400,FIFA 21
TheRealKnossi,/therealknossi,9829,26.4,336065,1862,2328191,Slots
ギルくん,/guilty1223,3679,256.0,18886,34014,132991,VALORANT
henyathegenius,/henyathegenius,5669,127.1,37253,12039,302957,Just Chatting
GronkhTV,/gronkhtv,1622,720.2,23816,5615,550058,Variety
LVPes,/lvpes,3612,262.3,232608,331,1101189,League of Legends
DarioMocciaTwitch,/dariomocciatwitch,6103,109.2,30199,10767,564026,Just Chatting
xTheSolutionTV,/xthesolutiontv,4363,195.3,32937,5220,708200,Call of Duty: Warzone
playapex,/playapex,7524,65.6,213219,7312,1171160,Apex Legends
gerardromero,/gerardromero,5162,146.3,146872,836,713697,Sports
kussia88,/kussia88,8631,42.2,86085,27543,932769,Just Chatting
oestagiario,/oestagiario,4686,169.7,19679,5036,327329,Sports
濃いめのあかりん,/akarindao,3565,257.7,13666,10322,438683,VALORANT
Waolol1,/waolol1,4195,200.0,18418,11312,251205,League of Legends
Ayellol,/ayellol,3975,217.0,13726,9581,433370,League of Legends
Xaryu,/xaryu,4795,159.8,51524,6021,566398,World of Warcraft
Ray__C,/ray__c,4542,174.8,75789,3221,571305,Grand Theft Auto V
RocketBaguette,/rocketbaguette,7002,74.2,87718,10888,411318,Rocket League
世誠,/bbbb87,4611,170.1,19598,1349,149834,League of Legends
RDCgaming,/rdcgaming,9010,32.6,24121,6841,676774,Fortnite
kyootbot,/kyootbot,6138,97.9,15704,7910,562461,Just Chatting
DeepSakultah,/deepsakultah,6901,74.6,22528,8219,241373,Virtual Casino
ESLCSb,/eslcsb,5675,114.6,283277,9209,1217924,Counter-Strike
なるお0419,/naru0419045,4225,191.0,11819,9786,44866,Street Fighter 6
Sacriel,/sacriel,4035,204.7,66781,26462,749223,Escape from Tarkov
DiazBiffle,/diazbiffle,4826,152.9,46932,17057,677224,Call of Duty: Warzone
junioor_amoriim,/junioor_amoriim,1552,708.5,3515,266,10952,Virtual Casino
おにや,/oniyadayo,6133,95.7,31876,4039,275980,Apex Legends
RduLIVE,/rdulive,3993,205.7,13706,1448,323742,Hearthstone
Bananirou,/bananirou,6312,89.2,18259,24130,541932,Just Chatting
Nadeshot,/nadeshot,4122,195.1,89778,12302,2006879,VALORANT
Bichouu_,/bichouu_,4742,154.7,34148,7152,779919,Grand Theft Auto V
csgomc_ua,/csgomc_ua,3655,233.3,51689,9210,163589,Counter-Strike
AgustinUnaplay8,/agustinunaplay8,5616,112.3,21039,5348,274978,Dead by Daylight
RavshanN,/ravshann,7406,57.6,19746,31267,376532,Just Chatting
dafran,/dafran,4653,156.8,47608,5166,889920,Overwatch
stableronaldo,/stableronaldo,5787,103.2,76923,32090,2978242,Fortnite
cs2_paragon_ru,/cs2_paragon_ru,7006,64.2,39859,7219,111125,Counter-Strike
Jerma985,/jerma985,10508,5.5,101270,253,1425299,Just Chatting
curry,/curry,3349,253.3,10386,28312,363027,VALORANT
moistcr1tikal,/moistcr1tikal,6761,69.3,69435,29033,5280320,Just Chatting
pokelawls,/pokelawls,4293,172.9,67746,-601,1079887,Just Chatting
MissMikkaa,/missmikkaa,3842,206.0,13769,11157,308949,ELDEN RING
Faide,/faide,4197,178.9,14723,17268,1045079,Apex Legends
AQUINO,/aquino,5946,93.3,13730,17898,920193,Just Chatting
koreshzy,/koreshzy,8902,25.3,65061,18889,1728491,Just Chatting
