streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
asianbunnyx,/asianbunnyx,6619,126.2,22476,31727,813124,"Pools, Hot Tubs, and Beaches",English,2020-03-24,0.0,2647
Shylily,/shylily,5868,156.5,33922,27795,1328992,Just Chatting,English,2015-08-29,4938.0,58072.0
Kamito_JP,/kamito_jp,4978,204.3,18959,9630,261289,Apex Legends,Japanese,2018-04-15,,
羅傑,/roger9527,7389,100.3,20669,2275,188895,Hearthstone,Chinese,2014-07-05,,
Hype,/hype,13328,6.1,83333,174,792834,Just Chatting,Turkish,2015-04-24,9739.0,37411.0
Mande,/mande,4900,207.0,19168,14174,597843,Apex Legends,English,2016-07-07,2980.0,5423
らいじん,/alfrea,5125,191.5,25701,8106,166096,League of Legends,Japanese,2013-07-09,1183.0,2485.0
Jahrein,/jahrein,11130,28.2,316703,514,1910665,Just Chatting,Turkish,2009-06-10,5871.0,47031.0
Jolygolf,/jolygolf,11543,22.9,49374,10063,474387,Talk Shows & Podcasts,Russian,2014-01-11,,
Foolish,/foolish,6168,139.2,133517,2990,2190976,Minecraft,English,2017-01-16,0.0,12771.0
Joueur_du_Grenier,/joueur_du_grenier,8317,73.7,181902,4892,961814,Just Chatting,French,2014-08-03,2368.0,5084.0
Rainbow6Bravo,/rainbow6bravo,7760,85.2,77348,21762,297275,Tom Clancy's Rainbow Six Siege,English,2018-08-07,,
Glorious_E,/glorious_e,4746,209.7,40764,7706,320457,Escape from Tarkov,English,2014-05-28,9889.0,12896
Emongg,/emongg,4379,234.9,78947,11731,957181,Overwatch,English,2011-07-01,4580.0,12612.0
Doublelift,/doublelift,6467,123.0,64735,2360,1780304,League of Legends,English,2013-02-03,0.0,3219.0
DougDoug,/dougdoug,9946,40.0,20469,24300,853718,Just Chatting,English,2012-06-21,4891.0,7224.0
elded,/elded,4645,211.7,54483,3032,5577231,Just Chatting,Spanish,2014-12-02,4519.0,11332.0
蝦愛橘子,/shuteye_orange,1807,717.3,9944,98,174383,Just Chatting,Chinese,2011-10-02,2217.0,13380.0
LACOBRAAA,/lacobraaa,6827,107.8,73783,24924,882042,Just Chatting,Spanish,2015-07-26,,
chowh1,/chowh1,5414,162.0,59343,7142,792917,Call of Duty: Warzone,French,2016-02-27,13472.0,31632.0
Carreraaa,/carreraaa,9638,42.2,158444,54630,4476657,Just Chatting,Spanish,2015-11-11,1003.0,6149.0
WankilStudio,/wankilstudio,9704,40.8,32755,5471,1235035,Just Chatting,French,2012-06-13,5647.0,6780.0
BotezLive,/botezlive,10003,36.1,86864,4328,1278275,Chess,English,2016-06-23,502.0,4433.0
RebeuDeter,/rebeudeter,9673,40.9,155443,15347,1472644,Grand Theft Auto V,French,2019-01-08,2258.0,6491.0
Zizaran,/zizaran,5363,162.1,30289,9234,433297,Path of Exile,English,2012-09-27,1297.0,7113.0
Pobelter,/pobelter,4660,203.1,31774,9999,432372,League of Legends,English,2011-09-26,0.0,329.0
MORGENSHTERN,/morgenshtern,11345,17.5,120112,30791,401020,Just Chatting,Russian,2022-02-14,,
mertabimula,/mertabimula,3670,285.8,20178,25978,285912,Grand Theft Auto V,German,2019-09-19,,
Locklear,/locklear,7136,92.6,58905,9001,2168676,Just Chatting,French,2016-10-18,8647.0,20986.0
runthefutmarket,/runthefutmarket,6102,126.5,44274,5420,908781,FIFA 19,English,2017-01-04,6350.0,14764.0
Drututt,/drututt,6125,124.9,35813,6243,564137,League of Legends,English,2014-02-18,2918.0,13315.0
rostislav_999,/rostislav_999,9662,38.5,41888,14567,794349,Dota 2,Russian,2019-12-02,,
Sardoche,/sardoche,4190,233.6,146958,-7141,1265787,League of Legends,French,2013-10-28,1969.0,18527.0
Tectone,/tectone,6440,111.1,62220,5673,929359,Genshin Impact,English,2012-01-25,3933.0,39425.0
Otzdarva,/otzdarva,5671,139.7,37035,27395,996191,Dead by Daylight,English,2014-04-29,4174.0,7804.0
RiotGamesJP,/riotgamesjp,8611,53.2,96114,2952,302310,League of Legends,Japanese,2015-10-21,,
아이네_,/vo_ine,11918,7.5,31660,273,357812,Just Chatting,Korean,2021-06-30,,
gamesofuture_dota2,/gamesofuture_dota2,7532,76.1,24740,22633,21202,Dota 2,Russian,2023-10-06,,
Duke,/duke,11427,12.1,54669,39518,1959039,Just Chatting,English,2016-03-03,,
Vinesauce,/vinesauce,6753,97.3,19347,3501,596781,Games + Demos,English,2011-10-26,1572.0,1969.0
Symfuhny,/symfuhny,4633,192.4,47884,5041,3974625,Call of Duty: Warzone,English,2012-06-28,4250.0,16793.0
YoDa,/yoda,4810,181.2,132814,1629,2438008,League of Legends,Portuguese,2013-08-03,3882.0,17368.0
dkincc,/dkincc,10294,24.9,26337,12370,386973,Just Chatting,Russian,2016-04-06,,
Franio,/franio,7102,85.8,33621,8491,422967,Just Chatting,Polish,2015-12-08,1327.0,2129.0
aldo_geo,/aldo_geo,5760,131.1,53044,15989,1825506,Just Chatting,Spanish,2016-03-26,3392.0,5345.0
Rezo,/rezo,10937,15.9,33582,8213,634458,Just Chatting,German,2020-12-18,450.0,2289.0
thesketchreal,/thesketchreal,9894,28.6,28046,151946,283269,Madden NFL 24,English,2023-06-02,,
BarbarousKing,/barbarousking,3251,312.4,25243,793,210512,Super Mario World,English,2014-02-15,8672.0,14528.0
WorldofTanks,/worldoftanks,10338,21.8,71042,3545,457225,World of Tanks,English,2017-11-20,,
Lysium,/lysium,4235,213.2,24124,4562,296416,Grand Theft Auto V,English,2013-06-10,2828.0,19667.0
dota2_paragon_ru2,/dota2_paragon_ru2,9300,36.6,36263,8012,56688,Dota 2,Russian,2023-04-11,,
supertf,/supertf,4493,191.5,29409,4700,632602,Overwatch,English,2014-03-25,5237.0,11177.0
willneff,/willneff,6744,89.9,45771,14202,484084,Just Chatting,English,2016-04-28,3853.0,6854.0
easportsfc,/easportsfc,11608,5.5,290841,9097,3488400,FIFA 21,English,2012-02-06,,
TheRealKnossi,/therealknossi,9829,26.4,336065,1862,2328191,Slots,German,2014-09-20,1144.0,55842.0
ギルくん,/guilty1223,3679,256.0,18886,34014,132991,VALORANT,Japanese,2018-04-07,,
henyathegenius,/henyathegenius,5669,127.1,37253,12039,302957,Just Chatting,English,2023-04-04,,
GronkhTV,/gronkhtv,1622,720.2,23816,5615,550058,Variety,German,2015-11-05,254.0,1672.0
LVPes,/lvpes,3612,262.3,232608,331,1101189,League of Legends,Spanish,2011-05-11,,
DarioMocciaTwitch,/dariomocciatwitch,6103,109.2,30199,10767,564026,Just Chatting,Italian,2013-12-12,15384.0,63016.0
xTheSolutionTV,/xthesolutiontv,4363,195.3,32937,5220,708200,Call of Duty: Warzone,German,2014-02-02,7214.0,12214.0
playapex,/playapex,7524,65.6,213219,7312,1171160,Apex Legends,English,2019-01-25,,
gerardromero,/gerardromero,5162,146.3,146872,836,713697,Sports,Spanish,2020-11-08,7675.0,16430.0
kussia88,/kussia88,8631,42.2,86085,27543,932769,Just Chatting,Russian,2021-08-06,,
oestagiario,/oestagiario,4686,169.7,19679,5036,327329,Sports,Portuguese,2018-08-28,3439.0,5555.0
濃いめのあかりん,/akarindao,3565,257.7,13666,10322,438683,VALORANT,Japanese,2020-09-17,,
Waolol1,/waolol1,4195,200.0,18418,11312,251205,League of Legends,French,2017-09-10,1908.0,3387
Ayellol,/ayellol,3975,217.0,13726,9581,433370,League of Legends,Portuguese,2013-07-09,0.0,3494
Xaryu,/xaryu,4795,159.8,51524,6021,566398,World of Warcraft,English,2012-07-13,3767.0,9891.0
Ray__C,/ray__c,4542,174.8,75789,3221,571305,Grand Theft Auto V,English,2015-11-16,2770.0,37407
RocketBaguette,/rocketbaguette,7002,74.2,87718,10888,411318,Rocket League,French,2016-11-08,0.0,1948
世誠,/bbbb87,4611,170.1,19598,1349,149834,League of Legends,Chinese,2016-07-01,3612.0,5293.0
RDCgaming,/rdcgaming,9010,32.6,24121,6841,676774,Fortnite,English,2014-05-23,3993.0,11330.0
kyootbot,/kyootbot,6138,97.9,15704,7910,562461,Just Chatting,English,2017-06-27,989.0,3698.0
DeepSakultah,/deepsakultah,6901,74.6,22528,8219,241373,Virtual Casino,Turkish,2022-02-20,,
ESLCSb,/eslcsb,5675,114.6,283277,9209,1217924,Counter-Strike,English,2012-09-03,0.0,289
なるお0419,/naru0419045,4225,191.0,11819,9786,44866,Street Fighter 6,Japanese,2022-06-30,,
Sacriel,/sacriel,4035,204.7,66781,26462,749223,Escape from Tarkov,English,2011-07-29,1488.0,2335.0
DiazBiffle,/diazbiffle,4826,152.9,46932,17057,677224,Call of Duty: Warzone,English,2015-07-02,2429.0,11539.0
junioor_amoriim,/junioor_amoriim,1552,708.5,3515,266,10952,Virtual Casino,Portuguese,2019-04-10,,
おにや,/oniyadayo,6133,95.7,31876,4039,275980,Apex Legends,Japanese,2020-11-09,406.0,3613.0
RduLIVE,/rdulive,3993,205.7,13706,1448,323742,Hearthstone,English,2014-03-31,1676.0,5400.0
Bananirou,/bananirou,6312,89.2,18259,24130,541932,Just Chatting,Spanish,2015-02-27,2841.0,3473.0
Nadeshot,/nadeshot,4122,195.1,89778,12302,2006879,VALORANT,English,2011-03-14,14968.0,21286.0
Bichouu_,/bichouu_,4742,154.7,34148,7152,779919,Grand Theft Auto V,French,2017-09-05,5018.0,5127.0
csgomc_ua,/csgomc_ua,3655,233.3,51689,9210,163589,Counter-Strike,Ukrainian,2021-03-04,,
AgustinUnaplay8,/agustinunaplay8,5616,112.3,21039,5348,274978,Dead by Daylight,Spanish,2016-12-29,,
RavshanN,/ravshann,7406,57.6,19746,31267,376532,Just Chatting,Russian,2015-05-27,,
dafran,/dafran,4653,156.8,47608,5166,889920,Overwatch,English,2013-03-14,0.0,6913.0
stableronaldo,/stableronaldo,5787,103.2,76923,32090,2978242,Fortnite,English,2018-08-08,0.0,11096
cs2_paragon_ru,/cs2_paragon_ru,7006,64.2,39859,7219,111125,Counter-Strike,Russian,2023-02-24,,
Jerma985,/jerma985,10508,5.5,101270,253,1425299,Just Chatting,English,2011-08-08,1038.0,15268.0
curry,/curry,3349,253.3,10386,28312,363027,VALORANT,English,2016-01-18,,
moistcr1tikal,/moistcr1tikal,6761,69.3,69435,29033,5280320,Just Chatting,English,2016-08-15,6521.0,32153.0
pokelawls,/pokelawls,4293,172.9,67746,-601,1079887,Just Chatting,English,2010-06-05,3276.0,9412.0
MissMikkaa,/missmikkaa,3842,206.0,13769,11157,308949,ELDEN RING,English,2013-08-27,,
Faide,/faide,4197,178.9,14723,17268,1045079,Apex Legends,English,2013-11-03,2505.0,5439.0
AQUINO,/aquino,5946,93.3,13730,17898,920193,Just Chatting,Spanish,2015-06-14,1102.0,1296.0
koreshzy,/koreshzy,8902,25.3,65061,18889,1728491,Just Chatting,Russian,2017-07-17,40.0,1275.0
ilrossopiubelloditwitch,/ilrossopiubelloditwitch,5099,126.9,19324,13515,348633,Just Chatting,Italian,2022-08-30,,
filian,/filian,6499,75.5,38417,20848,815238,Just Chatting,English,2018-02-27,,
WarThunder_eSports_RU,/warthunder_esports_ru,8747,27.5,15749,24884,51904,War Thunder,Russian,2023-02-21,,
tteuw,/tteuw,7486,50.7,37127,12762,496332,VALORANT,Portuguese,2013-08-04,1019.0,4857.0
dasMEHDI,/dasmehdi,2495,370.7,43983,9629,452584,Grand Theft Auto V,English,2012-06-23,0.0,17947
fanfan,/fanfan,4823,138.1,37338,10986,247297,Just Chatting,English,2020-10-15,,
abugoku9999,/abugoku9999,4672,146.0,34917,10106,537029,Grand Theft Auto V,German,2018-10-06,5450.0,15176.0
orslok,/orslok,6001,88.8,32649,7447,816094,Just Chatting,Spanish,2011-09-25,5497.0,12226.0
sneakylol,/sneakylol,2613,346.6,34565,-69,1759167,League of Legends,English,2011-09-02,0.0,6580.0
buddha,/buddha,9899,9.2,67137,247,883505,Grand Theft Auto V,English,2016-10-10,1415.0,27726.0
Distortion2,/distortion2,3190,261.6,22656,2493,636613,ELDEN RING,English,2012-09-20,1585.0,9305.0
ありさか,/cr_arisakaaa,6244,78.5,16852,8256,408753,VALORANT,Japanese,2018-01-27,,
Zoomaa,/zoomaa,4027,181.3,31344,3930,368892,Call of Duty: Modern Warfare II,English,2015-10-29,11244.0,22655.0
Brawlhalla,/brawlhalla,8005,35.8,162409,12347,2047864,Brawlhalla,English,2014-11-16,,
ぐちつぼ,/gutitubo,5032,122.1,20675,6143,254448,Minecraft,Japanese,2014-09-10,2278.0,3730.0
qojqva,/qojqva,3674,207.4,12041,1821,256963,Dota 2,English,2013-09-25,998.0,1688.0
chess24,/chess24,7521,44.3,36269,3217,192889,Chess,English,2014-11-16,,
バトラ,/batora324,4946,124.8,13592,2060,68255,Super Mario 64,Japanese,2015-06-18,894.0,1498.0
AuzioMF,/auziomf,4289,160.7,25558,11695,350966,FIFA 23,English,2015-09-01,2645.0,3557
Ninja,/ninja,5908,86.2,616693,6408,19018157,Fortnite,English,2011-01-16,5948.0,269154.0
LetsHugoTV,/letshugotv,4529,145.8,25755,30554,863001,Minecraft,German,2016-02-29,3685.0,10429.0
4HEAD,/4head,2835,297.9,8008,7604,92960,Grand Theft Auto V,English,2018-12-06,,
Oatley,/oatley,3464,221.3,21683,23658,485564,Fortnite,English,2018-12-12,,
TwitchRivals,/twitchrivals,8956,17.2,189150,60,2435924,League of Legends,English,2018-02-23,,
FaZeSway,/fazesway,1815,521.7,16761,27761,1258865,Fortnite,English,2019-02-15,526.0,1544.0
Eray,/eray,9412,11.0,37198,1204,1070266,Just Chatting,Turkish,2016-08-05,6986.0,16722.0
ChilledChaos,/chilledchaos,5069,114.8,23613,1495,454981,Among Us,English,2009-12-16,6079.0,15965.0
Jordan_Semih,/jordan_semih,6958,53.4,15540,28883,226660,Just Chatting,German,2023-02-23,,
Skermz,/skermz,4992,117.7,7867,26679,220948,Dead by Daylight,English,2014-07-22,,
erobb221,/erobb221,4516,141.6,34103,650,465385,Just Chatting,English,2015-07-22,0.0,3544
ESL_Dota2Storm,/esl_dota2storm,7534,40.2,69232,3804,200362,Dota 2,English,2013-06-04,,
watsondoto,/watsondoto,6040,77.1,13872,16273,176788,Dota 2,Russian,2016-12-03,,
HutchMF,/hutchmf,4052,168.7,19064,4877,343780,Grand Theft Auto V,English,2017-11-02,2757.0,11306.0
Giggand,/giggand,9123,12.5,21051,20967,570699,Grand Theft Auto V,German,2015-05-14,2970.0,7032.0
k1ng,/k1ng,7675,35.7,59139,23241,2014507,Fortnite,Spanish,2018-10-28,471.0,1029.0
2okos,/2okos,6700,56.8,48892,18192,198149,Just Chatting,Hungarian,2023-01-18,,
IJenz,/ijenz,1357,716.5,4212,15993,1000040,ASMR,Spanish,2020-05-29,531.0,2002.0
morphe_ya,/morphe_ya,5813,82.1,27554,57480,377964,Just Chatting,Russian,2018-02-02,,
MckyTV,/mckytv,4452,140.8,76882,4458,1373454,Fortnite,German,2015-09-06,3953.0,21721.0
ボドカさん,/vodkavdk,3676,193.3,31541,11388,490592,VALORANT,Japanese,2013-09-14,,
dokibird,/dokibird,9238,9.8,10175,16196,99189,Overwatch,English,2016-09-20,4074.0,5516
C_a_k_e,/c_a_k_e,3600,197.2,43277,5886,407048,Dota 2,Russian,2013-05-24,106.0,3120.0
烟花蹦蹦蹦,/hennie2001,1516,618.7,7979,3120,116702,Just Chatting,Chinese,2018-02-19,,
anarabdullaev,/anarabdullaev,5054,107.8,9758,21939,72687,Just Chatting,Russian,2023-06-14,,
KamiKat,/kamikat,4115,156.0,18311,8265,698806,League of Legends,Portuguese,2012-09-17,,
twitchmedia80,/twitchmedia80,5347,94.4,6957,26,50,Just Chatting,English,2021-01-12,,
JokerdTV,/jokerdtv,3233,228.4,308086,1884,309834,World of Warcraft,English,2013-08-25,871.0,7702.0
shuto_fgc,/shuto_fgc,4280,145.2,15606,11791,54308,Street Fighter 6,Japanese,2022-05-28,,
steel,/steel,6006,71.5,26188,14021,344318,Just Chatting,Russian,2018-02-10,114.0,838.0
fl0m,/fl0m,2904,266.0,19873,4157,873158,Counter-Strike,English,2011-09-26,7567.0,10840.0
Broxah,/broxah,4674,121.7,19261,6607,512143,League of Legends,English,2013-05-14,981.0,1922.0
Nikolarn,/nikolarn,5384,90.4,81982,1634,562115,Apex Legends,English,2014-07-13,154.0,563.0
serega_pirat,/serega_pirat,6812,48.0,12446,33892,208407,Dota 2,Russian,2015-02-24,,
mL7support,/ml7support,3863,169.0,102052,5445,810624,Overwatch,English,2013-11-21,2498.0,13506.0
WillerZ,/willerz,2980,251.4,98285,7638,376091,Escape from Tarkov,English,2016-03-08,9263.0,12047.0
IWDominate,/iwdominate,4371,136.1,26774,1413,869960,League of Legends,English,2011-10-23,0.0,11257
SoyMotor,/soymotor,5698,78.1,37642,5900,173171,Sports,Spanish,2020-10-23,,
skill4ltu,/skill4ltu,4054,154.4,19912,3862,322936,World of Tanks,English,2015-12-28,4415.0,9479
Raxxanterax,/raxxanterax,3000,246.6,16278,16358,226966,Diablo III,English,2011-08-31,2771.0,15928.0
TisiSchubech,/tisischubech,5882,71.4,62418,2296,452703,FIFA 23,German,2013-11-29,3871.0,12492.0
GMHikaru,/gmhikaru,8024,22.5,76963,3975,1905059,Chess,English,2015-09-29,1914.0,12618.0
Sliggytv,/sliggytv,3089,235.4,9864,7384,84904,VALORANT,English,2013-06-27,,
SidneyEweka,/sidneyeweka,3955,158.7,38511,13651,970780,Just Chatting,German,2016-09-22,4940.0,7344.0
Uzra,/uzra,1487,604.6,17392,202,238256,Hearthstone,Chinese,2010-04-08,7116.0,11956.0
Michel,/michel,1296,710.0,57475,7051,646517,Counter-Strike,Portuguese,2014-11-25,4676.0,9448.0
silizvlive,/silizvlive,1400,648.1,2050,59,13954,Virtual Casino,Portuguese,2020-02-19,,
CrystalMolly,/crystalmolly,5228,92.2,16322,21206,681083,League of Legends,Spanish,2016-06-14,,
kickerEsport,/kickeresport,7452,31.4,19046,127,3947,FIFA 20,German,2020-03-13,2.0,5
Chess,/chess,6839,44.1,139185,3500,1140558,Chess,English,2009-08-06,,
VALORANT_fr,/valorant_fr,5007,100.7,18907,16041,191794,VALORANT,French,2018-05-31,,
Michou,/michou,8130,19.1,278994,23591,1694794,Fortnite,French,2018-06-15,539.0,2357.0
heliN139,/helin139,5313,87.3,32908,57761,387665,Counter-Strike,Russian,2022-07-31,,
餐餐自由配,/blusewilly_retry,4218,138.7,38259,637,450665,Just Chatting,Chinese,2011-09-12,2296.0,8465.0
StankRat_,/stankrat_,3192,218.9,40535,30056,191236,Escape from Tarkov,English,2017-06-05,9631.0,11444
SmallAnt,/smallant,4350,130.7,22707,13375,1363681,Super Mario Odyssey,English,2016-02-29,5272.0,11814.0
한갱,/woohankyung,8810,8.3,52747,868,561448,Just Chatting,Korean,2019-08-19,2843.0,20941.0
AMOURANTH,/amouranth,6957,39.7,67949,-11609,6313696,ASMR,English,2016-05-29,745.0,25508.0
OceaneAmsler,/oceaneamsler,8550,11.6,48140,10182,327612,Just Chatting,French,2021-09-27,,
vysotzky,/vysotzky,4598,116.7,50297,2713,380313,League of Legends,Polish,2015-07-16,2606.0,7666.0
Spursito,/spursito,7776,23.5,71515,1074,1403013,Just Chatting,Spanish,2015-10-15,438.0,2928.0
Ponce,/ponce,3520,185.9,102442,-1876,796821,Just Chatting,French,2013-10-24,4542.0,14782.0
KSPKSP,/kspksp,3330,202.6,12623,2885,150932,Just Chatting,Chinese,2019-08-24,0.0,4843
wudijo,/wudijo,2347,332.8,73253,8551,349225,Diablo III,English,2014-04-22,1218.0,30205.0
Knut,/knut,3087,225.9,53655,5666,397816,Just Chatting,English,2013-05-12,1858.0,11468.0
Insym,/insym,4264,132.2,24271,6106,552855,Phasmophobia,English,2014-11-22,4858.0,11909.0
DatModz,/datmodz,2463,309.8,22824,5832,428662,Path of Exile,English,2011-08-16,1801.0,12858.0
CYR,/cyr,4551,116.5,66152,3181,626726,Grand Theft Auto V,English,2012-11-08,3527.0,6818.0
Codonysus,/codonysus,8674,8.4,26904,-107,500029,Counter-Strike,English,2023-08-08,,
Staiy,/staiy,4460,120.3,17698,2101,338512,Just Chatting,German,2013-09-11,3061.0,8781.0
edizderbreite,/edizderbreite,4751,105.7,16253,17437,285698,Grand Theft Auto V,German,2016-04-26,4047.0,7409.0
Dantes,/dantes,3488,183.7,26272,24654,875026,League of Legends,English,2019-10-09,0.0,3781
NEEXcsgo,/neexcsgo,3039,227.1,10058,20798,257856,Counter-Strike,Polish,2016-04-09,,
Morgpie,/morgpie,4653,109.1,13444,9772,315232,Just Chatting,English,2020-10-05,,
Jackeyy,/jackeyy,4708,106.1,28436,5138,465606,Grand Theft Auto V,Thai,2018-05-07,1564.0,5217.0
SUJAGG,/sujagg,4448,118.8,35252,25946,1247912,Fortnite,Spanish,2015-07-19,1583.0,3717.0
wtcN,/wtcn,7489,25.2,119384,481,2929754,VALORANT,Turkish,2013-11-22,5113.0,18336.0
melharucos,/melharucos,3365,191.6,14845,273,424569,Minecraft,Russian,2011-12-16,89.0,9641.0
valorant_la,/valorant_la,4490,115.5,50960,13796,388035,VALORANT,Spanish,2020-06-16,,
RealzBlueWater,/realzbluewater,3338,193.6,43644,1236,148226,Among Us,English,2014-05-14,,
footballbromance,/footballbromance,6257,51.4,18858,4401,88860,Sports,German,2020-08-24,,
Ssaab,/ssaab,3149,211.6,21843,7804,389538,Grand Theft Auto V,English,2016-02-24,2156.0,7327.0
スタンミ,/sutanmi,4018,140.6,20113,7748,331894,League of Legends,Japanese,2012-10-31,332.0,2459.0
Diario_AS,/diario_as,6673,40.3,14952,382,13812,Sports,Spanish,2019-09-17,31.0,67
ElGlogloking,/elglogloking,4731,102.0,11207,28848,291552,Just Chatting,Spanish,2021-09-10,,
XAROLA_,/xarola_,2674,265.4,20075,10363,271171,VALORANT,Portuguese,2017-11-14,,
Jankos,/jankos,4935,92.7,42426,2060,1307909,League of Legends,English,2009-05-06,706.0,4936.0
mago2dgod,/mago2dgod,3566,170.2,50003,11853,93506,VALORANT,Japanese,2011-10-03,,
TANZVERBOT,/tanzverbot,5458,72.4,32258,8814,767704,Just Chatting,German,2013-05-14,3736.0,9005.0
spkclb,/spkclb,8440,7.5,32637,2400,338679,Grand Theft Auto V,Portuguese,2017-01-03,,
GoodTimesWithScar,/goodtimeswithscar,7444,23.3,28357,14087,495699,Minecraft,English,2011-07-20,,
MOTHER3rd,/mother3rd,3113,209.1,37974,6003,340237,VALORANT,Japanese,2014-01-28,,
nl_Kripp,/nl_kripp,2862,236.7,97333,907,1516979,Hearthstone,English,2012-04-15,805.0,11028.0
Ben_,/ben_,3986,138.1,21989,4769,139257,Path of Exile,English,2012-01-11,,
samueletienne,/samueletienne,4288,120.3,84968,47328,680702,Just Chatting,French,2020-03-30,2739.0,5721.0
ゆきお2,/yukiofps14,5310,75.5,31289,2228,183710,Apex Legends,Japanese,2019-04-01,606.0,2265.0
suetam1v4,/suetam1v4,4702,99.3,20202,33580,698070,Fortnite,Portuguese,2018-06-03,2758.0,3508.0
blackoutz,/blackoutz,1206,709.0,31692,24388,1800877,Fortnite,Portuguese,2017-05-15,1714.0,5509.0
setsuko,/setsuko,4372,114.1,15395,2860,147617,Teamfight Tactics,English,2020-11-12,1054.0,3843
SkylineTVlive,/skylinetvlive,5595,64.7,30995,7002,202838,Just Chatting,German,2017-01-22,,
fifakillvizualz,/fifakillvizualz,2704,252.1,26510,7420,533269,Call of Duty: Warzone,English,2015-10-18,3364.0,15103.0
uglyfacekid,/uglyfacekid,4552,104.7,16477,42616,268032,Dota 2,Russian,2021-07-25,,
Jay3,/jay3,3522,167.5,17522,11860,646589,Overwatch,English,2016-08-26,0.0,14044
JatyLito,/jatylito,4464,108.6,5637,55,55,Casino,Russian,2023-07-24,,
Minerva,/minerva,4354,112.0,20300,7641,343647,League of Legends,Portuguese,2013-09-27,,
imorr,/imorr,6289,43.4,22860,7116,290265,Counter-Strike,Turkish,2017-09-30,,
Psychoghost,/psychoghost,3790,145.1,36017,4165,175762,Hunt: Showdown,English,2013-01-05,,
KingGothalion,/kinggothalion,3378,175.7,86264,7252,992188,Destiny 2,English,2013-05-22,0.0,13335.0
Levo,/levo,4790,90.8,46921,2447,853219,League of Legends,Turkish,2014-09-26,,
Grubby,/grubby,2870,225.0,14846,2472,623212,Warcraft III,English,2011-03-09,1576.0,3466.0
vei,/vei,6666,33.5,37876,2992,1053333,Just Chatting,English,2015-07-26,1643.0,9019.0
고세구___,/gosegugosegu,7304,20.6,36676,607,345034,Just Chatting,Korean,2021-07-14,,
pizfn,/pizfn,2957,214.1,24961,7506,740085,Fortnite,Italian,2018-07-06,5907.0,9281.0
xntentacion,/xntentacion,3341,176.1,58570,5416,313628,Just Chatting,Polish,2019-09-11,1293.0,2518.0
超負荷,/sam1268,7585,15.3,18774,1940,188501,League of Legends,Chinese,2012-04-04,,
RTAinJapan,/rtainjapan,4932,83.2,182595,1603,401488,Games + Demos,Japanese,2016-09-17,160.0,17142.0
TeePee,/teepee,2969,211.5,78741,2508,1019273,Call of Duty: Warzone,English,2011-08-03,8881.0,34225.0
Edwin_live,/edwin_live,3826,139.1,44981,2164,481967,Grand Theft Auto V,Thai,2017-09-21,,
ESAMarathon,/esamarathon,1189,693.5,35096,2115,290657,Retro,English,2014-01-10,0.0,1636
frttt,/frttt,2178,328.0,14717,14173,568205,VALORANT,Portuguese,2012-05-12,3262.0,8207.0
mafanyatoopeyu,/mafanyatoopeyu,6080,45.7,26606,17450,260153,Just Chatting,Russian,2020-05-01,,
dangerlyoha,/dangerlyoha,5971,48.4,20676,14936,841815,Counter-Strike,Russian,2018-12-14,957.0,1952.0
AvoidingThePuddle,/avoidingthepuddle,4628,94.6,20916,2275,428891,Tekken 7,English,2011-07-18,6019.0,11010.0
GENSYXA,/gensyxa,5393,65.4,40832,34201,1188139,Just Chatting,Russian,2015-02-02,282.0,2007.0
GUACAMOLEMOLLY,/guacamolemolly,5830,52.0,22093,5815,394069,Just Chatting,Russian,2017-11-13,285.0,1289.0
boxbox,/boxbox,3736,143.3,74768,2634,2114672,Teamfight Tactics,English,2012-12-30,1354.0,6456.0
Deansocool,/deansocool,3023,203.2,16455,8781,329981,Grand Theft Auto V,English,2011-10-24,0.0,5906
willito,/willito,6374,37.8,22884,12828,204444,Just Chatting,English,2023-07-26,,
capcomfighters_jp,/capcomfighters_jp,5327,66.4,35064,3348,79617,Street Fighter V,Japanese,2017-02-11,,
kenaivsouza,/kenaivsouza,3901,131.1,7713,7984,276241,Grand Theft Auto V,Spanish,2016-12-15,,
LCK_Carry,/lck_carry,4751,87.4,28436,5605,55364,League of Legends,Chinese,2023-06-08,,
Shotzzy,/shotzzy,4585,94.3,21304,13173,450699,Call of Duty: Warzone,English,2012-06-10,3184.0,18643.0
midbeast,/midbeast,3573,151.6,42186,3782,834138,League of Legends,English,2015-05-28,943.0,3133.0
ラプラスダークネス総帥,/laplusdarknesss_hololive,5487,59.4,20748,23292,320233,VALORANT,Japanese,2021-12-20,,
Zerkaa,/zerkaa,6210,39.5,37875,3686,1484674,Grand Theft Auto V,English,2010-07-17,4915.0,17021.0
Kitboga,/kitboga,5856,48.0,44265,1711,1214545,Just Chatting,English,2012-08-06,2759.0,12725.0
MeikodRJ,/meikodrj,5156,69.5,24292,7680,721619,Grand Theft Auto V,Portuguese,2017-12-26,1114.0,4672.0
DaigoTheBeasTV,/daigothebeastv,4992,75.3,55386,5421,405124,Street Fighter V,Japanese,2016-02-12,635.0,3175.0
ヘルアン,/m2_kento_heluan,2049,342.9,9832,6171,37691,Grand Theft Auto V,Japanese,2018-10-31,,
비챤_,/viichan6,7393,14.7,37845,255,317182,Just Chatting,Korean,2018-02-10,,
