streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers,contenido principal,idioma,fecha creacion canal,subs actuales,maximo subs
LCK,/lck,25776,93.5,307586,22941,1832880,League of Legends,English,2016-05-16,,
Clix,/clix,19774,154.6,130208,193518,7272712,Fortnite,English,2018-06-22,16819.0,33539.0
just_ns,/just_ns,17901,182.0,114216,16839,727256,Dota 2,Russian,2013-04-10,76.0,5908.0
ESLCS,/eslcs,6844,648.6,562080,51557,6271942,Counter-Strike,English,2012-06-11,408.0,3853.0
MrSavage,/mrsavage,23384,110.3,127414,187761,3954233,Fortnite,English,2018-02-24,4380.0,9398.0
otplol_,/otplol_,6197,718.7,204072,8852,713770,League of Legends,French,2020-12-18,,
Mizkif,/mizkif,28973,65.2,192216,3019,2077162,Just Chatting,English,2015-06-28,7757.0,32319.0
叶ちゃんねる,/kanae_2434,15522,210.1,57430,19900,540100,Grand Theft Auto V,Japanese,2018-05-01,,
ファン太,/fantasista_jp,14660,227.4,46884,7671,248209,Grand Theft Auto V,Japanese,2018-03-08,,
buster,/buster,25043,86.6,196574,47841,3890978,Just Chatting,Russian,2015-03-25,219.0,2814.0
Gotaga,/gotaga,20241,131.3,405271,27119,4293517,Fortnite,French,2011-08-17,11396.0,28262.0
betboom_eng,/betboom_eng,22945,101.8,61150,29330,88726,Dota 2,English,2017-02-01,,
NoWay4u_Sir,/noway4u_sir,12731,265.5,49218,5938,663602,League of Legends,German,2015-03-16,16688.0,22858.0
Rubius,/rubius,21480,111.5,372079,45509,14869364,Just Chatting,Spanish,2013-01-12,14172.0,56577.0
Elraenn,/elraenn,28938,52.2,163915,43990,4609445,Just Chatting,Turkish,2017-07-16,34116.0,52277.0
QTCinderella,/qtcinderella,23012,91.2,381436,62205,1015108,Just Chatting,English,2018-08-14,28959.0,36181.0
loud_coringa,/loud_coringa,22399,89.5,307450,71041,5091822,Grand Theft Auto V,Portuguese,2020-08-19,15811.0,37092.0
Cellbit,/cellbit,21847,92.9,215165,26859,3323097,Just Chatting,Portuguese,2012-02-28,17713.0,45450.0
k4sen,/k4sen,21097,97.2,114565,16709,740208,League of Legends,Japanese,2013-06-09,2684.0,6458.0
shroud,/shroud,14959,182.2,516289,49832,10799196,PUBG: BATTLEGROUNDS,English,2012-11-03,3746.0,101588.0
PaulinhoLOKObr,/paulinholokobr,24402,66.3,266793,35843,2815492,Grand Theft Auto V,Portuguese,2020-05-15,4972.0,23026.0
CapcomFighters,/capcomfighters,23947,68.5,108815,11818,436512,Street Fighter V,English,2012-10-03,,
betboom_ru,/betboom_ru,13666,196.1,116495,21886,349268,Dota 2,Russian,2016-07-12,,
ElMariana,/elmariana,21537,81.8,159115,89289,9377723,Just Chatting,Spanish,2020-03-03,9570.0,20436.0
RocketLeague,/rocketleague,22390,71.8,259144,26390,4175402,Rocket League,English,2014-02-26,,
JLTomy,/jltomy,13141,198.5,261719,6640,1237142,Grand Theft Auto V,French,2017-05-03,16562.0,59405.0
Mixwell,/mixwell,13748,184.4,87546,17052,1069376,VALORANT,Spanish,2015-07-14,5781.0,13513.0
Tumblurr,/tumblurr,19631,93.3,47393,16463,1437937,Just Chatting,Italian,2014-12-23,36589.0,59627.0
Emiru,/emiru,22163,64.6,59377,27710,1428637,League of Legends,English,2015-05-14,2417.0,10957.0
