streamer,href,media visualizaciones,horas stream,maximo historico,aumento followers,total followers
stableronaldo,/stableronaldo,5787,103.2,76923,32090,2978242
cs2_paragon_ru,/cs2_paragon_ru,7006,64.2,39859,7219,111125
Jerma985,/jerma985,10508,5.5,101270,253,1425299
curry,/curry,3349,253.3,10386,28312,363027
moistcr1tikal,/moistcr1tikal,6761,69.3,69435,29033,5280320
pokelawls,/pokelawls,4293,172.9,67746,-601,1079887
MissMikkaa,/missmikkaa,3842,206,13769,11157,308949
Faide,/faide,4197,178.9,14723,17268,1045079
AQUINO,/aquino,5946,93.3,13730,17898,920193
koreshzy,/koreshzy,8902,25.3,65061,18889,1728491
ilrossopiubelloditwitch,/ilrossopiubelloditwitch,5099,126.9,19324,13515,348633
filian,/filian,6499,75.5,38417,20848,815238
WarThunder_eSports_RU,/warthunder_esports_ru,8747,27.5,15749,24884,51904
tteuw,/tteuw,7486,50.7,37127,12762,496332
dasMEHDI,/dasmehdi,2495,370.7,43983,9629,452584
fanfan,/fanfan,4823,138.1,37338,10986,247297
abugoku9999,/abugoku9999,4672,146,34917,10106,537029
orslok,/orslok,6001,88.8,32649,7447,816094
sneakylol,/sneakylol,2613,346.6,34565,-69,1759167
buddha,/buddha,9899,9.2,67137,247,883505
Distortion2,/distortion2,3190,261.6,22656,2493,636613
ありさか,/cr_arisakaaa,6244,78.5,16852,8256,408753
Zoomaa,/zoomaa,4027,181.3,31344,3930,368892
Brawlhalla,/brawlhalla,8005,35.8,162409,12347,2047864
ぐちつぼ,/gutitubo,5032,122.1,20675,6143,254448
qojqva,/qojqva,3674,207.4,12041,1821,256963
chess24,/chess24,7521,44.3,36269,3217,192889
バトラ,/batora324,4946,124.8,13592,2060,68255
AuzioMF,/auziomf,4289,160.7,25558,11695,350966
Ninja,/ninja,5908,86.2,616693,6408,19018157
LetsHugoTV,/letshugotv,4529,145.8,25755,30554,863001
4HEAD,/4head,2835,297.9,8008,7604,92960
Oatley,/oatley,3464,221.3,21683,23658,485564
TwitchRivals,/twitchrivals,8956,17.2,189150,60,2435924
FaZeSway,/fazesway,1815,521.7,16761,27761,1258865
Eray,/eray,9412,11,37198,1204,1070266
ChilledChaos,/chilledchaos,5069,114.8,23613,1495,454981
Jordan_Semih,/jordan_semih,6958,53.4,15540,28883,226660
Skermz,/skermz,4992,117.7,7867,26679,220948
erobb221,/erobb221,4516,141.6,34103,650,465385
ESL_Dota2Storm,/esl_dota2storm,7534,40.2,69232,3804,200362
watsondoto,/watsondoto,6040,77.1,13872,16273,176788
HutchMF,/hutchmf,4052,168.7,19064,4877,343780
Giggand,/giggand,9123,12.5,21051,20967,570699
k1ng,/k1ng,7675,35.7,59139,23241,2014507
2okos,/2okos,6700,56.8,48892,18192,198149
IJenz,/ijenz,1357,716.5,4212,15993,1000040
morphe_ya,/morphe_ya,5813,82.1,27554,57480,377964
MckyTV,/mckytv,4452,140.8,76882,4458,1373454
ボドカさん,/vodkavdk,3676,193.3,31541,11388,490592
dokibird,/dokibird,9238,9.8,10175,16196,99189
C_a_k_e,/c_a_k_e,3600,197.2,43277,5886,407048
烟花蹦蹦蹦,/hennie2001,1516,618.7,7979,3120,116702
anarabdullaev,/anarabdullaev,5054,107.8,9758,21939,72687
KamiKat,/kamikat,4115,156,18311,8265,698806
twitchmedia80,/twitchmedia80,5347,94.4,6957,26,50
JokerdTV,/jokerdtv,3233,228.4,308086,1884,309834
shuto_fgc,/shuto_fgc,4280,145.2,15606,11791,54308
steel,/steel,6006,71.5,26188,14021,344318
fl0m,/fl0m,2904,266,19873,4157,873158
Broxah,/broxah,4674,121.7,19261,6607,512143
Nikolarn,/nikolarn,5384,90.4,81982,1634,562115
serega_pirat,/serega_pirat,6812,48,12446,33892,208407
mL7support,/ml7support,3863,169,102052,5445,810624
WillerZ,/willerz,2980,251.4,98285,7638,376091
IWDominate,/iwdominate,4371,136.1,26774,1413,869960
SoyMotor,/soymotor,5698,78.1,37642,5900,173171
skill4ltu,/skill4ltu,4054,154.4,19912,3862,322936
Raxxanterax,/raxxanterax,3000,246.6,16278,16358,226966
TisiSchubech,/tisischubech,5882,71.4,62418,2296,452703
GMHikaru,/gmhikaru,8024,22.5,76963,3975,1905059
Sliggytv,/sliggytv,3089,235.4,9864,7384,84904
SidneyEweka,/sidneyeweka,3955,158.7,38511,13651,970780
Uzra,/uzra,1487,604.6,17392,202,238256
Michel,/michel,1296,710,57475,7051,646517
silizvlive,/silizvlive,1400,648.1,2050,59,13954
CrystalMolly,/crystalmolly,5228,92.2,16322,21206,681083
kickerEsport,/kickeresport,7452,31.4,19046,127,3947
Chess,/chess,6839,44.1,139185,3500,1140558
VALORANT_fr,/valorant_fr,5007,100.7,18907,16041,191794
Michou,/michou,8130,19.1,278994,23591,1694794
heliN139,/helin139,5313,87.3,32908,57761,387665
餐餐自由配,/blusewilly_retry,4218,138.7,38259,637,450665
StankRat_,/stankrat_,3192,218.9,40535,30056,191236
SmallAnt,/smallant,4350,130.7,22707,13375,1363681
한갱,/woohankyung,8810,8.3,52747,868,561448
AMOURANTH,/amouranth,6957,39.7,67949,-11609,6313696
OceaneAmsler,/oceaneamsler,8550,11.6,48140,10182,327612
vysotzky,/vysotzky,4598,116.7,50297,2713,380313
Spursito,/spursito,7776,23.5,71515,1074,1403013
Ponce,/ponce,3520,185.9,102442,-1876,796821
KSPKSP,/kspksp,3330,202.6,12623,2885,150932
wudijo,/wudijo,2347,332.8,73253,8551,349225
Knut,/knut,3087,225.9,53655,5666,397816
Insym,/insym,4264,132.2,24271,6106,552855
DatModz,/datmodz,2463,309.8,22824,5832,428662
CYR,/cyr,4551,116.5,66152,3181,626726
Codonysus,/codonysus,8674,8.4,26904,-107,500029
Staiy,/staiy,4460,120.3,17698,2101,338512
edizderbreite,/edizderbreite,4751,105.7,16253,17437,285698
Dantes,/dantes,3488,183.7,26272,24654,875026
NEEXcsgo,/neexcsgo,3039,227.1,10058,20798,257856
Morgpie,/morgpie,4653,109.1,13444,9772,315232
Jackeyy,/jackeyy,4708,106.1,28436,5138,465606
SUJAGG,/sujagg,4448,118.8,35252,25946,1247912
wtcN,/wtcn,7489,25.2,119384,481,2929754
melharucos,/melharucos,3365,191.6,14845,273,424569
valorant_la,/valorant_la,4490,115.5,50960,13796,388035
RealzBlueWater,/realzbluewater,3338,193.6,43644,1236,148226
footballbromance,/footballbromance,6257,51.4,18858,4401,88860
Ssaab,/ssaab,3149,211.6,21843,7804,389538
スタンミ,/sutanmi,4018,140.6,20113,7748,331894
Diario_AS,/diario_as,6673,40.3,14952,382,13812
ElGlogloking,/elglogloking,4731,102,11207,28848,291552
XAROLA_,/xarola_,2674,265.4,20075,10363,271171
Jankos,/jankos,4935,92.7,42426,2060,1307909
mago2dgod,/mago2dgod,3566,170.2,50003,11853,93506
TANZVERBOT,/tanzverbot,5458,72.4,32258,8814,767704
spkclb,/spkclb,8440,7.5,32637,2400,338679
GoodTimesWithScar,/goodtimeswithscar,7444,23.3,28357,14087,495699
MOTHER3rd,/mother3rd,3113,209.1,37974,6003,340237
nl_Kripp,/nl_kripp,2862,236.7,97333,907,1516979
Ben_,/ben_,3986,138.1,21989,4769,139257
samueletienne,/samueletienne,4288,120.3,84968,47328,680702
ゆきお2,/yukiofps14,5310,75.5,31289,2228,183710
suetam1v4,/suetam1v4,4702,99.3,20202,33580,698070
blackoutz,/blackoutz,1206,709,31692,24388,1800877
setsuko,/setsuko,4372,114.1,15395,2860,147617
SkylineTVlive,/skylinetvlive,5595,64.7,30995,7002,202838
fifakillvizualz,/fifakillvizualz,2704,252.1,26510,7420,533269
uglyfacekid,/uglyfacekid,4552,104.7,16477,42616,268032
Jay3,/jay3,3522,167.5,17522,11860,646589
